user_id,ad_id,ad_brand,full_watch_cnt
1,1,23,1
2,1,23,1
3,1,23,1
4,1,23,1
5,1,996,1
6,1,70,1
7,1,999,1
8,1,24,1
9,1,37,1
10,1,0,1
8,1,56,1
11,1,56,1
12,1,41,1
13,1,62,1
14,1,15,1
15,1,24,1
16,1,23,1
17,1,15,1
18,1,15,1
19,1,68,1
20,1,23,1
17,1,19,1
21,1,23,1
22,1,24,1
23,1,23,1
24,1,0,1
25,1,3,1
26,1,24,1
27,1,33,1
28,1,56,1
29,1,86,1
30,1,86,1
31,1,1,1
32,1,86,1
33,1,59,1
34,1,86,1
35,1,68,1
36,1,33,1
37,1,56,1
38,1,23,1
39,1,104,1
33,1,15,1
40,1,58,1
41,1,61,1
42,1,23,1
43,1,59,1
44,1,82,1
45,1,56,1
46,1,0,1
47,1,23,1
48,1,23,1
49,1,46,1
50,1,106,1
51,1,15,1
52,1,55,1
53,1,15,1
54,1,15,1
55,1,15,1
56,1,37,1
57,1,24,1
58,1,37,1
59,1,62,1
60,1,998,1
61,1,15,1
62,1,0,1
63,1,15,1
64,1,15,1
65,1,24,1
66,1,59,1
28,1,15,1
16,1,15,1
67,1,23,1
68,1,3,1
69,1,0,1
70,1,70,1
71,1,24,1
72,1,23,1
73,1,24,1
74,1,999,1
75,1,0,1
76,1,59,1
77,1,15,1
78,1,33,1
79,1,23,1
80,1,23,1
81,1,23,1
82,1,54,1
83,1,15,1
84,1,54,1
85,1,23,1
86,1,15,1
87,1,15,1
88,1,23,1
89,1,43,1
90,1,999,1
32,1,56,1
86,1,61,1
91,1,998,1
92,1,15,1
67,1,15,1
60,1,23,1
93,1,127,1
60,1,23,1
94,1,15,1
95,1,104,1
96,1,15,1
97,1,15,1
45,1,24,1
98,1,3,1
99,1,24,1
100,1,104,1
101,1,3,1
102,1,15,1
103,1,1,1
104,1,3,1
105,1,23,1
106,1,51,1
107,1,23,1
108,1,23,1
109,1,15,1
61,1,45,1
110,1,23,1
111,1,86,1
98,1,69,1
86,1,23,1
112,1,23,1
113,1,23,1
114,1,15,1
115,1,15,1
116,1,67,1
117,1,999,1
118,1,43,1
119,1,21,1
120,1,15,1
121,1,16,1
122,1,15,1
123,1,27,1
124,1,76,1
125,1,70,1
126,1,33,1
127,1,47,1
116,1,23,1
128,1,24,1
129,1,58,1
130,1,23,1
61,1,3,1
131,1,59,1
132,1,23,1
133,1,23,1
134,1,62,1
135,1,23,1
136,1,15,1
137,1,24,1
138,1,19,1
139,1,37,1
140,1,23,1
141,1,23,1
142,1,15,1
143,1,24,1
144,1,43,1
49,1,15,1
73,1,15,1
145,1,15,1
146,1,15,1
147,1,15,1
148,1,1,1
149,1,24,1
150,1,24,1
151,1,23,1
152,1,104,1
153,1,86,1
154,1,59,1
155,1,15,1
156,1,62,1
157,1,23,1
158,1,86,1
159,1,102,1
160,1,59,1
151,1,23,1
161,1,23,1
162,1,56,1
163,1,15,1
164,1,15,1
165,1,24,1
166,1,23,1
32,1,23,1
142,1,56,1
167,1,40,1
168,1,103,1
169,1,23,1
170,1,24,1
127,1,58,1
171,1,3,1
131,1,15,1
172,1,23,1
49,1,59,1
173,1,24,1
174,1,23,1
175,1,999,1
176,1,23,1
177,1,53,1
178,1,70,1
179,1,54,1
180,1,16,1
181,1,43,1
182,1,19,1
183,1,23,1
184,1,23,1
185,1,33,1
144,1,80,1
186,1,86,1
72,1,15,1
34,1,23,1
187,1,54,1
188,1,54,1
189,1,24,1
190,1,23,1
132,1,24,1
191,1,16,1
192,1,86,1
169,1,15,1
193,1,23,1
194,1,58,1
195,1,3,1
196,1,60,1
197,1,146,1
198,1,54,1
199,1,59,1
169,1,23,1
200,1,998,1
201,1,1,1
202,1,1,1
162,1,23,1
203,2,19,1
204,2,23,1
205,2,15,1
206,2,23,1
207,2,0,1
208,2,24,1
209,2,59,1
210,2,21,1
211,2,21,1
212,2,999,1
213,2,3,1
214,2,15,1
215,2,3,1
216,2,15,1
217,2,86,1
218,2,35,1
219,2,1,1
220,2,15,1
221,2,15,1
222,2,23,1
223,2,56,1
224,2,15,1
225,2,40,1
226,2,56,1
227,2,86,1
228,2,15,1
229,2,39,1
230,2,23,1
231,2,23,1
232,2,24,1
233,2,61,1
234,2,58,1
235,2,127,1
236,2,23,1
237,2,0,1
238,2,24,1
239,2,3,1
240,2,23,1
241,2,37,1
242,2,61,1
243,2,86,1
244,2,23,1
245,2,106,1
246,2,58,1
247,2,23,1
248,2,58,1
249,2,15,1
250,2,15,1
251,2,53,1
252,2,62,1
253,2,23,1
254,2,86,1
255,2,24,1
256,2,23,1
257,2,19,1
258,2,23,1
259,2,23,1
260,2,23,1
261,2,48,1
262,2,23,1
263,2,59,1
264,2,16,1
265,2,60,1
266,2,55,1
267,2,86,1
268,2,41,1
269,2,21,1
270,2,104,1
271,2,56,1
272,2,999,1
273,2,15,1
274,2,23,1
275,2,3,1
276,2,41,1
277,2,15,1
278,2,23,1
279,2,23,1
280,2,19,1
281,2,69,1
282,2,23,1
283,2,33,1
284,2,24,1
285,2,37,1
286,2,55,1
287,2,23,1
288,2,16,1
289,2,23,1
290,2,23,1
291,2,59,1
292,2,23,1
293,2,41,1
294,2,23,1
295,2,15,1
296,2,15,1
297,2,15,1
298,2,37,1
299,2,15,1
300,2,15,1
301,2,15,1
302,2,23,1
303,2,104,1
304,2,33,1
305,2,23,1
306,2,31,1
307,2,86,1
308,2,24,1
309,2,24,1
310,2,23,1
311,2,24,1
312,2,0,1
313,2,48,1
314,2,24,1
315,2,15,1
316,2,23,1
317,2,61,1
318,2,67,1
319,2,45,1
320,2,23,1
321,2,23,1
322,2,23,1
323,2,19,1
324,2,3,1
325,2,23,1
326,2,19,1
327,2,41,1
328,2,15,1
329,2,58,1
330,2,23,1
331,2,0,1
332,2,33,1
333,2,33,1
334,2,15,1
335,2,37,1
336,2,58,1
337,2,23,1
338,2,1,1
339,2,58,1
340,2,70,1
341,2,68,1
342,2,80,1
255,2,58,1
343,2,15,1
344,2,15,1
345,2,3,1
346,2,86,1
347,2,59,1
348,2,33,1
349,2,86,1
350,2,15,1
351,2,23,1
352,2,70,1
353,2,31,1
354,2,24,1
355,2,15,1
356,2,23,1
357,2,70,1
358,2,86,1
359,2,24,1
360,2,15,1
361,2,86,1
